fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,DMZ-CHARTER-SCHOOLS,30128,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-CHARTER-SCHOOLS,,false,,,,false,false,false,true,,,,,,,12345,1,,,518,,,,,239.1.1.26,false
SoAZ-PHX,NA,ic-vmotion-1688,30050,Default_Network_Universal,Default_Network_Extension_Universal,ic-vmotion-1688,,false,,,,false,false,false,true,,,,,,,12345,1,,,1688,,,,,239.1.1.0,false
SoAZ-PHX,NA,GM-1614-Svr-Mgmt,30073,Default_Network_Universal,Default_Network_Extension_Universal,GM-1614-Svr-Mgmt,,false,,,,false,false,false,true,,,,,,,12345,1,,,1614,,,,,239.1.1.28,false
SoAZ-PHX,NA,ADOT-dt-ipcameras-FW-CONN,30094,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-ipcameras-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,154,,,,,239.1.1.29,false
SoAZ-PHX,NA,rt-mosaic-FW-CONN,30162,Default_Network_Universal,Default_Network_Extension_Universal,rt-mosaic-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2125,,,,,239.1.1.30,false
SoAZ-PHX,NA,ADOT-Internal-Extranet,30019,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Internal-Extranet,,false,,,,false,false,false,true,,,,,,,12345,1,,,1640,,,,,239.1.1.0,false
SoAZ-PHX,NA,PIMA,30133,Default_Network_Universal,Default_Network_Extension_Universal,PIMA,,false,,,,false,false,false,true,,,,,,,12345,1,,,523,,,,,239.1.1.32,false
SoAZ-PHX,NA,ADOT-PVS-Citrix-primary,30004,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-PVS-Citrix-primary,,false,,,,false,false,false,true,,,,,,,12345,1,,,220,,,,,239.1.1.0,false
SoAZ-PHX,NA,dt-virtualcsr-FW-CONN,30098,Default_Network_Universal,Default_Network_Extension_Universal,dt-virtualcsr-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,158,,,,,239.1.1.34,false
SoAZ-PHX,NA,MF-z-VM,30150,Default_Network_Universal,Default_Network_Extension_Universal,MF-z-VM,,false,,,,false,false,false,true,,,,,,,12345,1,,,334,,,,,239.1.1.35,false
